task,head,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,lstm,30s,6,test,0.5,3.0,1859,11154,0.6587771203155819,0.5837476513382945,0.5717777522998283,0.815275638997889,0.6863905325443787,0.6005959794424663,0.5929354216166479,0.8563784655114547,0.6729424421732114,0.6052758421097095,0.5876116167805837,0.8563784655114547,0.8432238131685978,0.869256857862231,0.5733656944969453,0.6269747134232343
age_class,lstm,30s,60,test,0.5,30.0,1862,111670,0.6465030894600161,0.6194543095184053,0.5698613608981903,0.8220602362363656,0.6992481203007519,0.6793877183771171,0.6272363070558965,0.8615928743160465,0.6960257787325457,0.6820662207365199,0.6267818195009799,0.8615928743160465,,,,
age_class,lstm,30s,60,test,0.5,30.0,1859,111540,0.6627667204590282,0.5890093221318771,0.5772110097079112,0.8199657073335603,0.7057557826788596,0.6212606127166631,0.6137607970869503,0.8646273498431807,0.7052178590640129,0.6193736674420491,0.6108769045787014,0.8646273498431807,0.8514322919517362,0.877247467363172,0.5929987015256908,0.6498571763340115
age_class,lstm,30s,8,test,0.5,4.0,1862,14896,0.6431928034371643,0.6117349600072859,0.564840812946492,0.8179370739228288,0.6906552094522019,0.667565330028359,0.6145381834542224,0.8544316971751679,0.6616541353383458,0.6505405833192061,0.591356972730669,0.8544316971751679,,,,
age_class,lstm,30s,8,test,0.5,4.0,1859,14872,0.6551237224314147,0.5859066365672722,0.5722744573739235,0.8149540736808268,0.6966110812264659,0.6124732582263454,0.6041921841487312,0.8571151453832226,0.6772458310919849,0.6095163631912747,0.59407772171813,0.8571151453832226,0.8443059585768079,0.8689557873999396,0.5832987014819475,0.6392823016156763
age_class,lstm,30s,80,test,0.5,40.0,1862,148870,0.6461745146772352,0.6182301608650501,0.5686934246255557,0.8220502481979928,0.7003222341568206,0.6809331532714803,0.6278356333980625,0.8620548025730518,0.6911922663802363,0.6821339771010919,0.6224778812294186,0.8620548025730518,,,,
age_class,lstm,30s,80,test,0.5,40.0,1859,148720,0.6624394835933297,0.5887983875194926,0.5770371876874894,0.8209215198521543,0.7105970952124798,0.6251234798697491,0.6174136711112961,0.8653037242092695,0.699838622915546,0.6149197837404997,0.6072548854014082,0.8653037242092695,0.8522948374887079,0.8778848054687483,0.5958089630961393,0.6520380202888383
age_class,lstm,30s,all,test,0.5,,1862,2080220,0.6647719952697311,0.623979828946625,0.5722619078178179,0.83330690268612,0.700859291084855,0.6802869989526568,0.6279477823640894,0.8623606494470021,0.69656283566058,0.6809096991452822,0.6254939748274532,0.8623606494470021,,,,
age_class,lstm,30s,all,test,0.5,,1859,2079880,0.679730561378541,0.5953593461387597,0.5815305077339795,0.8318686727659236,0.7046799354491662,0.6197873232631196,0.6119131437741337,0.8650969859509043,0.7046799354491662,0.6218261177594374,0.6141577409230946,0.8650969859509043,0.8518466585989876,0.8774893503683284,0.5898535714367078,0.6470789197309679
age_class,lstm,10m,1,test,10.0,10.0,1862,1862,0.6396348012889366,0.605088612706266,0.5591258631512869,0.8159034582661241,0.6396348012889366,0.605088612706266,0.5591258631512869,0.8159034582661241,0.6396348012889366,0.605088612706266,0.5591258631512869,0.8159034582661241,,,,
