task,held_out_context,K,actual,predicted,error
sleep_efficiency_binary,80m,2,0.7333758128288077,0.7523006491698586,0.01892483634105091
sleep_efficiency_binary,80m,3,0.7658450560402574,0.7614930117093457,-0.004352044330911742
sleep_efficiency_binary,80m,4,0.7809365094925333,0.7648698897608558,-0.016066619731677556
sleep_efficiency_binary,80m,5,0.7884204571447244,0.7664887278945296,-0.02193172925019482
sleep_efficiency_binary,80m,6,0.7912255334444335,0.767392750463254,-0.023832782981179523
sleep_efficiency_binary,80m,8,0.7951865421690684,0.7683195408173495,-0.026867001351718822
sleep_efficiency_binary,120m,1,0.7161808074371794,0.7058200807015421,-0.01036072673563726
sleep_efficiency_binary,120m,10,0.814608657647943,0.7703755965805376,-0.04423306106740543
sleep_efficiency_binary,120m,2,0.7681334346305917,0.7504545986964962,-0.01767883593409547
sleep_efficiency_binary,120m,3,0.7982489461817469,0.7608133127444108,-0.037435633437336135
sleep_efficiency_binary,120m,4,0.8096693951573375,0.7649670571344248,-0.04470233802291268
sleep_efficiency_binary,120m,5,0.8136038541973007,0.7670891029237753,-0.046514751273525445
sleep_efficiency_binary,120m,6,0.813759067738457,0.7683350873909125,-0.04542398034754447
sleep_efficiency_binary,120m,8,0.8145290085939287,0.7696856350282517,-0.044843373565677025
sleep_efficiency_binary,240m,1,0.7675850815279548,0.7037874661635795,-0.06379761536437534
sleep_efficiency_binary,240m,2,0.8278120200633924,0.7539901716707743,-0.07382184839261807
sleep_efficiency_binary,240m,3,0.8310939695454693,0.7667937932896267,-0.06430017625584261
sleep_efficiency_binary,240m,4,0.8313390435578212,0.7722300701662561,-0.05910897339156507
sleep_efficiency_binary,240m,5,0.831392142927164,0.7751252774190757,-0.05626686550808835
bmi_binary,30s,1,0.6699340062111802,0.6370529672303227,-0.03288103898085748
bmi_binary,30s,10,0.7417822150293062,0.6861095000171211,-0.05567271501218507
bmi_binary,30s,100,0.7468807409675443,0.7007700279213408,-0.04611071304620351
bmi_binary,30s,12,0.7418519267780597,0.6880165383710696,-0.05383538840699009
bmi_binary,30s,120,0.7476762750415538,0.7013399456756996,-0.04633632936585419
bmi_binary,30s,16,0.7444627001137258,0.6906781544572399,-0.05378454565648594
bmi_binary,30s,160,0.745679238474324,0.7021353687250864,-0.04354386974923763
bmi_binary,30s,2,0.6684604912081183,0.658380130115523,-0.010080361092595358
bmi_binary,30s,20,0.7450381637651999,0.6924831152898347,-0.052555048475365185
bmi_binary,30s,200,0.7475928943224565,0.7026747806473941,-0.04491811367506238
bmi_binary,30s,25,0.7462629035080045,0.6940887025084429,-0.052174200999561604
bmi_binary,30s,250,0.7474493701338465,0.703154609833924,-0.04429476029992252
bmi_binary,30s,3,0.7043059990377045,0.6676987907500381,-0.03660720828766639
bmi_binary,30s,30,0.7457530509141808,0.6952679938065454,-0.0504850571076354
bmi_binary,30s,320,0.7465909587962557,0.7036239345019966,-0.04296702429425914
bmi_binary,30s,4,0.7243433426646837,0.6732062883938725,-0.051137054270811166
bmi_binary,30s,40,0.7466757064123875,0.6969139075779236,-0.049761798834463855
bmi_binary,30s,400,0.7470721065523576,0.7039989213945529,-0.04307318515780467
bmi_binary,30s,5,0.7300227998425334,0.6769411687112789,-0.053081631131254525
bmi_binary,30s,50,0.7471090127722858,0.698030075272657,-0.04907893749962877
bmi_binary,30s,500,0.7470598044790482,0.7043324877251687,-0.04272731675387953
bmi_binary,30s,6,0.7372413830810951,0.6796844091947138,-0.05755697388638126
bmi_binary,30s,60,0.7457120440031493,0.6988498917450149,-0.04686215225813439
bmi_binary,30s,8,0.7355259273029482,0.683513096218143,-0.052012831084805144
bmi_binary,30s,80,0.7470953438019421,0.6999940935414902,-0.047101250260451866
bmi_binary,10m,1,0.6785522920129473,0.7093208696954578,0.03076857768251051
bmi_binary,10m,10,0.7521637980054239,0.7555152024103768,0.0033514044049529623
