task,n_train_points,train_contexts,held_out_context,context_min,actual_auroc,predicted_auroc,error_auroc_points,abs_error_auroc_points,fit_succeeded
apnea_binary,4,"30s,10m,40m,80m",240m,240.0,0.8537516841074302,0.8562766845544488,0.002525000447018644,0.002525000447018644,True
apnea_binary,3,"30s,10m,40m",80m,80.0,0.8467052174382983,0.830541860671322,-0.016163356766976333,0.016163356766976333,True
apnea_binary,3,"30s,10m,40m",120m,120.0,0.8568985117278349,0.8364864892219059,-0.020412022505928995,0.020412022505928995,True
apnea_binary,3,"30s,10m,40m",240m,240.0,0.8537516841074302,0.8465269029190469,-0.007224781188383322,0.007224781188383322,True
apnea_binary,2,"30s,10m",40m,40.0,0.8248689453908313,0.8083970958204243,-0.016471849570407038,0.016471849570407038,True
apnea_binary,2,"30s,10m",80m,80.0,0.8467052174382983,0.8157485297539461,-0.030956687684352224,0.030956687684352224,True
apnea_binary,2,"30s,10m",120m,120.0,0.8568985117278349,0.8198977901252085,-0.03700072160262646,0.03700072160262646,True
apnea_binary,2,"30s,10m",240m,240.0,0.8537516841074302,0.8267426030538583,-0.027009081053571915,0.027009081053571915,True
bmi_binary,4,"30s,10m,40m,80m",120m,120.0,0.7655648565304873,0.7645814098985756,-0.000983446631911744,0.000983446631911744,True
bmi_binary,4,"30s,10m,40m,80m",240m,240.0,0.7769060012247396,0.7669070132559097,-0.00999898796882992,0.00999898796882992,True
bmi_binary,3,"30s,10m,40m",80m,80.0,0.7687825321494182,0.7551750747518883,-0.013607457397529887,0.013607457397529887,True
bmi_binary,3,"30s,10m,40m",120m,120.0,0.7655648565304873,0.7551750747521124,-0.010389781778374907,0.010389781778374907,True
bmi_binary,3,"30s,10m,40m",240m,240.0,0.7769060012247396,0.7551750747521491,-0.02173092647259056,0.02173092647259056,True
bmi_binary,2,"30s,10m",40m,40.0,0.7550916914530662,0.7587653650419881,0.0036736735889218997,0.0036736735889218997,True
bmi_binary,2,"30s,10m",80m,80.0,0.7687825321494182,0.760455768125168,-0.008326764024250144,0.008326764024250144,True
bmi_binary,2,"30s,10m",120m,120.0,0.7655648565304873,0.7614258197734862,-0.004139036757001113,0.004139036757001113,True
bmi_binary,2,"30s,10m",240m,240.0,0.7769060012247396,0.7630527063953599,-0.013853294829379692,0.013853294829379692,True
sleep_efficiency_binary,4,"30s,10m,40m,80m",120m,120.0,0.814608657647943,0.7793098908682271,-0.035298766779715884,0.035298766779715884,True
sleep_efficiency_binary,4,"30s,10m,40m,80m",240m,240.0,0.831392142927164,0.7893811600485288,-0.04201098287863525,0.04201098287863525,True
sleep_efficiency_binary,3,"30s,10m,40m",80m,80.0,0.7955684491716498,0.7520936762283474,-0.043474772943302376,0.043474772943302376,True
sleep_efficiency_binary,3,"30s,10m,40m",120m,120.0,0.814608657647943,0.7560565351359132,-0.05855212251202979,0.05855212251202979,True
sleep_efficiency_binary,3,"30s,10m,40m",240m,240.0,0.831392142927164,0.7627825182947577,-0.06860962463240627,0.06860962463240627,True
sleep_efficiency_binary,2,"30s,10m",40m,40.0,0.7598291868864078,0.7120837362128363,-0.0477454506735715,0.0477454506735715,True
sleep_efficiency_binary,2,"30s,10m",80m,80.0,0.7955684491716498,0.7128495583811987,-0.08271889079045114,0.08271889079045114,True
sleep_efficiency_binary,2,"30s,10m",120m,120.0,0.814608657647943,0.713293368099183,-0.10131528954876001,0.10131528954876001,True
sleep_efficiency_binary,2,"30s,10m",240m,240.0,0.831392142927164,0.7140450133844596,-0.11734712954270443,0.11734712954270443,True
depression_extreme_binary,4,"30s,10m,40m,80m",120m,120.0,0.7540650406504065,0.748424797088551,-0.00564024356185544,0.00564024356185544,True
depression_extreme_binary,4,"30s,10m,40m,80m",240m,240.0,0.7455284552845529,0.7484247970902187,0.002896341805665781,0.002896341805665781,True
