task,head,run_tag,context_length,k,split,context_length_min,total_compute_min,n_subjects,n_segments,seg_accuracy,seg_balanced_accuracy,seg_macro_f1,seg_auroc,mean_prob_accuracy,mean_prob_balanced_accuracy,mean_prob_macro_f1,mean_prob_auroc,majority_accuracy,majority_balanced_accuracy,majority_macro_f1,majority_auroc,mean_prob_auroc_ci_lo,mean_prob_auroc_ci_hi,mean_prob_bal_acc_ci_lo,mean_prob_bal_acc_ci_hi
age_class,transformer,,10m,all,test,10.0,,1859,103517,0.6819846015630283,0.626991333318625,0.5966250677794257,0.8432640555742502,0.7052178590640129,0.6557054670180842,0.6303067405969228,0.8690034463571861,0.6993006993006993,0.6564856939004081,0.6286518042104812,0.8690034463571861,0.8564635299410709,0.881399011559758,0.6278552495773286,0.6834355431651521
age_class,transformer,,40m,1,test,40.0,40.0,1859,1859,0.6880043033889188,0.5948454699790917,0.593689875842513,0.8432771794012655,0.6880043033889188,0.5948454699790917,0.593689875842513,0.8432771794012655,0.6880043033889188,0.5948454699790917,0.593689875842513,0.8432771794012655,0.8300843482475797,0.8562224931394469,0.567441468931573,0.620240851773521
age_class,transformer,,40m,10,test,40.0,400.0,1859,18550,0.7096495956873315,0.6401478928806806,0.6222273457787466,0.8590564441334472,0.7536309844002151,0.6763122463312922,0.6630176822247988,0.8866031945901357,0.7423345884884346,0.6802472566766956,0.6605821320483495,0.8866031945901357,0.8746093796943039,0.8973425351685916,0.6484295693776022,0.7035037391601447
age_class,transformer,,40m,12,test,40.0,480.0,1859,21913,0.7096244238579839,0.6389704237221993,0.6204124439709737,0.8593330708694434,0.7514792899408284,0.6769916470032902,0.6628563133485832,0.886194906357121,0.7428725121032813,0.6803212121617669,0.6600461117580835,0.886194906357121,0.8740886387291512,0.8972159575649065,0.6487633927243461,0.7043886730024187
age_class,transformer,,40m,16,test,40.0,640.0,1859,24800,0.7203629032258064,0.6398398630757827,0.6212118793624372,0.8652689687813925,0.7541689080150619,0.6784904479625228,0.6648635952061371,0.8867741412000832,0.7477138246369016,0.680266843379151,0.6626901224697326,0.8867741412000832,0.8747876452734339,0.897552998789503,0.6492885368413626,0.7049916277072295
age_class,transformer,,40m,2,test,40.0,80.0,1859,3718,0.6869284561592254,0.6062709128128261,0.5954017525814247,0.8410272369032595,0.7175901022054868,0.6337655721254877,0.6284100408037041,0.8639442813959807,0.666487358795051,0.6523606367783346,0.6027241990748535,0.8639442813959807,0.8506557035106844,0.8765241084808422,0.6045146651205342,0.6614321305409335
age_class,transformer,,40m,20,test,40.0,800.0,1859,25243,0.7237253892168126,0.6406522837621158,0.6219995426959258,0.8675494513546607,0.7547068316299086,0.6790814645109862,0.6653611091615989,0.8870328090180624,0.7477138246369016,0.680266843379151,0.6626901224697326,0.8870328090180624,0.87514354144438,0.8978220408841971,0.6496365795879337,0.7057708882854107
age_class,transformer,,40m,25,test,40.0,1000.0,1859,25265,0.7239659608153572,0.6407315929526282,0.622072046807523,0.8677039076773975,0.7547068316299086,0.6790814645109862,0.6653611091615989,0.8870336666868949,0.7477138246369016,0.680266843379151,0.6626901224697326,0.8870336666868949,0.8751460336820502,0.8978229154640623,0.6496365795879337,0.7057708882854107
age_class,transformer,,40m,3,test,40.0,120.0,1859,5577,0.6991213914290837,0.6229981948634791,0.6095949581245227,0.8518896419645948,0.743410435718128,0.6647262239040299,0.6561855089706468,0.8793902841267526,0.727810650887574,0.6571687540096977,0.6360201883804381,0.8793902841267526,0.8668554550180968,0.8908280902845099,0.6372932794800654,0.6916608990451123
age_class,transformer,,40m,4,test,40.0,160.0,1859,7436,0.7037385691231846,0.6298093544696856,0.6142292699980665,0.8543088680096481,0.7493275954814417,0.664040898428798,0.65561326934546,0.8827439574432013,0.7283485745024206,0.6731669077016029,0.6473581581420302,0.8827439574432013,0.8706817076302806,0.8938504179984049,0.6352069700681089,0.6903241107750976
